job_title,company,location,post_date,seniority_level,skills,salary
data scientist,company_003,"Grapevine, TX . Hybrid",17 days ago,senior,"['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']",150705
data scientist,company_005,"Fort Worth, TX . Hybrid",15 days ago,lead,"['spark', 'r', 'python', 'sql', 'machine learning']",118733
data scientist,company_007,"Austin, TX . Toronto, Ontario, Canada . Kirkland, WA . Orlando, FL . Edmonton, Alberta, Canada + 1 More",a month ago,senior,"['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']",127273
data scientist,company_008,"Chicago, IL . Scottsdale, AZ . Austin, TX . Hybrid",8 days ago,senior,"['sql', 'r', 'python']",153599.5
data scientist,company_009,On-site,3 days ago,,[],171254.5
data scientist,company_013,"New York, NY",3 months ago,lead,"['scikit-learn', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']",223770.5
data scientist,company_014,"Berkeley, CA",15 days ago,junior,[],60737
machine learning engineer,company_015,"Menlo Park, CA",9 days ago,senior,['machine learning'],126960
data scientist,company_019,Fully Remote,6 days ago,senior,[],207331
data scientist,company_021,On-site,a day ago,senior,[],219201
data scientist,company_022,"Atlanta, GA",15 days ago,senior,"['pytorch', 'r', 'python', 'sql', 'machine learning', 'keras', 'deep learning', 'tensorflow']",96815
data scientist,company_027,Greater Vancouver Metropolitan Area,6 days ago,midlevel,"['java', 'git', 'python']",75995
data scientist,company_029,"Minneapolis, MN . Fully Remote",8 days ago,senior,"['sql', 'machine learning', 'python']",132709
data scientist,company_031,"Titusville, NJ . Titusville, New Jersey, United States",19 days ago,senior,"['sql', 'machine learning', 'r', 'python']",115083
data scientist,company_034,"Arlington, VA",a month ago,senior,"['pandas', 'powerbi', 'python', 'java', 'sql', 'machine learning', 'tableau']",139283.5
data scientist,company_037,Fully Remote,14 days ago,senior,[],134266
data scientist,company_038,"Bengaluru, Karnataka, India",6 days ago,lead,"['spark', 'aws', 'r', 'python', 'machine learning', 'gcp', 'deep learning', 'hadoop', 'azure']",52746
data scientist,company_039,"Charlotte, NC . On-site",8 days ago,lead,"['aws', 'r', 'python', 'sql', 'machine learning', 'azure', 'tableau']",162576
data scientist,company_040,Fully Remote,13 days ago,senior,[],206875
machine learning engineer,company_041,"Basel, Basel, Switzerland",19 days ago,junior,"['pytorch', 'python', 'machine learning', 'deep learning', 'tensorflow']",80123
